Name, Thickness(nm), Er, Z
IMD_1bEQ,770.000000,3.807605,1.000000
IMD_1c,50.000000,5.000000,2.000000
IMD_1d,30.000000,4.200000,3.000000
IMD_2a,95.000000,2.900000,4.000000
IMD_2b,220.000000,2.900000,5.000000
IMD_2c,50.000000,5.000000,6.000000
IMD_2d,30.000000,4.200000,7.000000
IMD_3a,95.000000,2.900000,8.000000
IMD_3b,220.000000,2.900000,9.000000
IMD_3c,50.000000,5.000000,10.000000
IMD_3d,30.000000,4.200000,11.000000
IMD_4a,95.000000,29.000000,12.000000
IMD_4b,220.000000,2.900000,13.000000
IMD_4c,50.000000,5.000000,14.000000
IMD_4d,30.000000,4.200000,15.000000
IMD_5a,95.000000,2.900000,16.000000
IMD_5b,220.000000,2.290000,17.000000
IMD_5c,50.000000,5.000000,18.000000
IMD_5d,30.000000,4.200000,19.000000
IMD_6a,95.000000,2.900000,20.000000
IMD_6b,220.000000,2.900000,21.000000
IMD_6c,50.000000,5.000000,22.000000
IMD_6d,30.000000,4.200000,23.000000
IMD_7aEQ,7605.000000,4.480837,24.000000
