Name, Thickness(nm), Er, Z
IMD_5cEQ,2400.000000,3.399404,1.000000
IMD_5d,30.000000,4.200000,2.000000
IMD_6a,95.000000,2.900000,3.000000
IMD_6b,220.000000,2.900000,4.000000
IMD_6c,50.000000,5.000000,5.000000
IMD_6d,30.000000,4.200000,6.000000
IMD_7a,95.000000,2.900000,7.000000
IMD_7b,220.000000,2.900000,8.000000
IMD_7c,50.000000,5.000000,9.000000
IMD_8a,200.000000,4.200000,10.000000
IMD_8b,18.000000,4.200000,11.000000
IMD_8c,80.000000,4.200000,12.000000
IMD_8d,322.000000,4.200000,13.000000
IMD_8eEQ,6620.000000,4.626175,14.000000
