Name, Thickness(nm), Er, Z
IMD_6bEQ,2745.000000,3.340352,1.000000
IMD_6c,50.000000,5.000000,2.000000
IMD_6d,30.000000,4.200000,3.000000
IMD_7a,95.000000,2.900000,4.000000
IMD_7b,220.000000,2.900000,5.000000
IMD_7c,50.000000,5.000000,6.000000
IMD_8a,200.000000,4.200000,7.000000
IMD_8b,18.000000,4.200000,8.000000
IMD_8c,80.000000,4.200000,9.000000
IMD_8d,322.000000,4.200000,10.000000
IMD_8e,50.000000,8.100000,11.000000
IMD_8f,775.000000,4.200000,12.000000
IMD_8g,50.000000,5.000000,13.000000
IMD_9a,620.000000,4.200000,14.000000
IMD_9b,50.000000,8.100000,15.000000
IMD_9c,3275.000000,4.200000,16.000000
PASS1EQ,1800.000000,6.065973,17.000000
