Name, Thickness(nm), Er, Z
IMD_6dEQ,2825.000000,3.367455,1.000000
IMD_7a,95.000000,2.900000,2.000000
IMD_7b,220.000000,2.900000,3.000000
IMD_7c,50.000000,5.000000,4.000000
IMD_8a,200.000000,4.200000,5.000000
IMD_8b,18.000000,4.200000,6.000000
IMD_8c,80.000000,4.200000,7.000000
IMD_8d,322.000000,4.200000,8.000000
IMD_8e,50.000000,8.100000,9.000000
IMD_8f,775.000000,4.200000,10.000000
IMD_8g,50.000000,5.000000,11.000000
IMD_9a,620.000000,4.200000,12.000000
IMD_9b,50.000000,8.100000,13.000000
IMD_9cEQ,5075.000000,4.714356,14.000000
