Name, Thickness(nm), Er, Z
IMD_8bEQ,3408.000000,3.376136,1.000000
IMD_8c,80.000000,4.200000,2.000000
IMD_8d,322.000000,4.200000,3.000000
IMD_8e,50.000000,8.100000,4.000000
IMD_8f,775.000000,4.200000,5.000000
IMD_8g,50.000000,5.000000,6.000000
IMD_9a,620.000000,4.200000,7.000000
IMD_9b,50.000000,8.100000,8.000000
IMD_9c,3275.000000,4.200000,9.000000
PASS1,75.000000,8.100000,10.000000
PASS2,400.000000,8.100000,11.000000
PASS3,75.000000,8.100000,12.000000
PASS4,250.000000,4.200000,13.000000
PASS5,400.000000,4.200000,14.000000
PASS6EQ,600.000000,8.100000,15.000000
