Name,Thickness,Relpermittivity,Z-Layer
FOX,300,3.9,1
ILD,310,4.2,2
IMD_1a,30,4.5,3
IMD_1b,130,2.9,4
IMD_1c,50,5,5
IMD_1d,30,4.2,6
IMD_2a,95,2.9,7
IMD_2b,220,2.9,8
IMD_2c,50,5,9
IMD_2d,30,4.2,10
IMD_3a,95,2.9,11
IMD_3b,220,2.9,12
IMD_3c,50,5,13
IMD_3d,30,4.2,14
IMD_4a,95,29,15
IMD_4b,220,2.9,16
IMD_4c,50,5,17
IMD_4d,30,4.2,18
IMD_5a,95,2.9,19
IMD_5b,220,2.29,20
IMD_5c,50,5,21
IMD_5d,30,4.2,22
IMD_6a,95,2.9,23
IMD_6b,220,2.9,24
IMD_6c,50,5,25
IMD_6d,30,4.2,26
IMD_7a,95,2.9,27
IMD_7b,220,2.9,28
IMD_7c,50,5,29
IMD_8a,200,4.2,30
IMD_8b,18,4.2,31
IMD_8c,80,4.2,32
IMD_8d,322,4.2,33
IMD_8e,50,8.1,34
IMD_8f,775,4.2,35
IMD_8g,50,5,36
IMD_9a,620,4.2,37
IMD_9b,50,8.1,38
IMD_9c,3275,4.2,39
PASS1,75,8.1,40
PASS2,400,8.1,41
PASS3,75,8.1,42
PASS4,250,4.2,43
PASS5,400,4.2,44
PASS6,600,8.1,45
