Name, Thickness(nm), Er, Z
ILDEQ,6100.000000,4.046902,1.000000
IMD_1a,300.000000,4.500000,2.000000
IMD_1b,1300.000000,2.900000,3.000000
IMD_1c,500.000000,5.000000,4.000000
IMD_1d,300.000000,4.200000,5.000000
IMD_2a,950.000000,2.900000,6.000000
IMD_2b,2200.000000,2.900000,7.000000
IMD_2c,500.000000,5.000000,8.000000
IMD_2d,300.000000,4.200000,9.000000
IMD_3a,950.000000,2.900000,10.000000
IMD_3b,2200.000000,2.900000,11.000000
IMD_3c,500.000000,5.000000,12.000000
IMD_3d,300.000000,4.200000,13.000000
IMD_4a,950.000000,2.900000,14.000000
IMD_4bEQ,88400.000000,4.192420,15.000000
