Name, Thickness(nm), Er, Z
IMD_2aEQ,9450.000000,3.748091,1.000000
IMD_2b,2200.000000,2.900000,2.000000
IMD_2c,500.000000,5.000000,3.000000
IMD_2d,300.000000,4.200000,4.000000
IMD_3a,950.000000,2.900000,5.000000
IMD_3b,2200.000000,2.900000,6.000000
IMD_3c,500.000000,5.000000,7.000000
IMD_3d,300.000000,4.200000,8.000000
IMD_4a,950.000000,2.900000,9.000000
IMD_4b,2200.000000,2.900000,10.000000
IMD_4c,500.000000,5.000000,11.000000
IMD_4d,300.000000,4.200000,12.000000
IMD_5a,950.000000,2.900000,13.000000
IMD_5bEQ,84450.000000,4.259121,14.000000
