Name, Thickness(nm), Er, Z
IMD_4bEQ,19550.000000,3.373496,1.000000
IMD_4c,500.000000,5.000000,2.000000
IMD_4d,300.000000,4.200000,3.000000
IMD_5a,950.000000,2.900000,4.000000
IMD_5b,2200.000000,2.900000,5.000000
IMD_5c,500.000000,5.000000,6.000000
IMD_5d,300.000000,4.200000,7.000000
IMD_6a,950.000000,2.900000,8.000000
IMD_6b,2200.000000,2.900000,9.000000
IMD_6c,500.000000,5.000000,10.000000
IMD_6d,300.000000,4.200000,11.000000
IMD_7a,950.000000,2.900000,12.000000
IMD_7b,2200.000000,2.900000,13.000000
IMD_7c,500.000000,5.000000,14.000000
IMD_8a,6200.000000,4.200000,15.000000
IMD_8b,500.000000,8.100000,16.000000
IMD_8c,7750.000000,4.200000,17.000000
IMD_8d,750.000000,8.100000,18.000000
IMD_9a,7250.000000,4.200000,19.000000
IMD_9b,1100.000000,8.100000,20.000000
IMD_9c,32300.000000,4.200000,21.000000
PASS1,750.000000,8.100000,22.000000
PASS2,4000.000000,4.200000,23.000000
PASS3,750.000000,8.100000,24.000000
PASS4,2500.000000,4.200000,25.000000
PASS5EQ,10000.000000,5.906250,26.000000
