Name, Thickness(nm), Er, Z
IMD_5aEQ,21300.000000,3.384073,1.000000
IMD_5b,2200.000000,2.900000,2.000000
IMD_5c,500.000000,5.000000,3.000000
IMD_5d,300.000000,4.200000,4.000000
IMD_6a,950.000000,2.900000,5.000000
IMD_6b,2200.000000,2.900000,6.000000
IMD_6c,500.000000,5.000000,7.000000
IMD_6d,300.000000,4.200000,8.000000
IMD_7a,950.000000,2.900000,9.000000
IMD_7b,2200.000000,2.900000,10.000000
IMD_7c,500.000000,5.000000,11.000000
IMD_8a,6200.000000,4.200000,12.000000
IMD_8b,500.000000,8.100000,13.000000
IMD_8c,7750.000000,4.200000,14.000000
IMD_8d,750.000000,8.100000,15.000000
IMD_9a,7250.000000,4.200000,16.000000
IMD_9b,1100.000000,8.100000,17.000000
IMD_9c,32300.000000,4.200000,18.000000
PASS1,750.000000,8.100000,19.000000
PASS2EQ,17250.000000,5.175000,20.000000
