Name,Thickness (A),Relpermittivity,Z-Layer,Group
FOX,3000,3.9,1,1
ILD,3100,4.2,2,1
IMD_1a,300,4.5,3,1
IMD_1b,1300,2.9,4,1
IMD_1c,500,5,5,1
IMD_1d,300,4.2,6,1
IMD_2a,950,2.9,7,1
IMD_2b,2200,2.9,8,1
IMD_2c,500,5,9,1
IMD_2d,300,4.2,10,1
IMD_3a,950,2.9,11,1
IMD_3b,2200,2.9,12,1
IMD_3c,500,5,13,1
IMD_3d,300,4.2,14,1
IMD_4a,950,2.9,15,1
IMD_4b,2200,2.9,16,1
IMD_4c,500,5,17,1
IMD_4d,300,4.2,18,1
IMD_5a,950,2.9,19,1
IMD_5b,2200,2.9,20,1
IMD_5c,500,5,21,1
IMD_5d,300,4.2,22,1
IMD_6a,950,2.9,23,1
IMD_6b,2200,2.9,24,1
IMD_6c,500,5,25,1
IMD_6d,300,4.2,26,1
IMD_7a,950,2.9,27,1
IMD_7b,2200,2.9,28,1
IMD_7c,500,5,29,1
IMD_8a,6200,4.2,30,1
IMD_8b,500,8.1,31,1
IMD_8c,7750,4.2,32,1
IMD_8d,750,8.1,33,1
IMD_9a,7250,4.2,34,2
IMD_9b,1100,8.1,35,3
IMD_9c,32300,4.2,36,4
PASS1,750,8.1,37,5
PASS2,4000,4.2,38,5
PASS3,750,8.1,39,5
PASS4,2500,4.2,40,5
PASS5,4000,4.2,41,5
PASS6,6000,8.1,42,5
