Name,Thickness,Relpermittivity,Z-Layer
FOX,300,10,1
ILD,310,15,2
IMD_1a,30,5,3
IMD_1b,130,16,4
IMD_1c,50,5,5
IMD_1d,30,5,6
IMD_2a,95,20,7
IMD_2b,220,15,8
IMD_2c,50,5,9
IMD_2d,30,5,10
IMD_3a,95,20,11
IMD_3b,220,15,12
IMD_3c,50,5,13
IMD_3d,30,5,14
IMD_4a,95,20,15
IMD_4b,220,15,16
IMD_4c,50,5,17
IMD_4d,30,5,18
IMD_5a,95,20,19
IMD_5b,220,15,20
IMD_5c,50,5,21
IMD_5d,30,5,22
IMD_6a,95,20,23
IMD_6b,220,15,24
IMD_6c,50,5,25
IMD_6d,30,5,26
IMD_7a,95,20,27
IMD_7b,220,15,28
IMD_7c,50,5,29
IMD_8a,200,10,30
IMD_8b,18,10,31
IMD_8c,80,10,32
IMD_8d,322,7,33
IMD_8e,50,5,34
IMD_8f,775,10,35
IMD_8g,50,5,36
IMD_9a,620,7,37
IMD_9b,50,5,38
IMD_9c,775,10,39
PASS1,75,10,40
PASS2,400,10,41
PASS3,75,10,42
PASS4,250,10,43
PASS5,400,10,44
PASS6,600,10,45
